Rank,Country (or dependent territory),Population,Date,% of world,
1,China,"1,379,290,000",14-Oct-16,18.50%,Official population clock
2,India,"1,330,780,000",14-Oct-16,17.80%,Unofficial population clock
3,United States,"324,702,000",14-Oct-16,4.35%,Official population clock
4,Indonesia,"260,581,000",1-Jul-16,3.49%,Official projection
5,Brazil,"206,798,000",14-Oct-16,2.77%,Official population clock
6,Pakistan,"194,525,000",14-Oct-16,2.61%,Official population clock
7,Nigeria,"186,987,000",1-Jul-16,2.51%,UN Projection
8,Bangladesh,"161,249,000",14-Oct-16,2.16%,Official population clock
9,Russia,"146,691,020",1-Aug-16,1.97%,Official estimate
10,Mexico,"128,632,000",1-Jul-16,1.73%,Official projection
11,Japan,"126,685,000",1-Sep-16,1.70%,Monthly provisional estimate
12,Philippines,"103,159,000",14-Oct-16,1.38%,Official population clock
13,Ethiopia,"101,853,000",1-Jul-16,1.37%,Official projection
14,Vietnam,"92,700,000",1-Jul-16,1.24%,Annual official projection
15,Egypt,"91,756,800",14-Oct-16,1.23%,Official population clock
16,Democratic Republic of the Congo,"85,110,000",1-Jul-16,1.10%,Official estimate
17,Germany,"82,175,700",31-Dec-15,1.10%,Official estimate
18,Iran,"79,607,900",14-Oct-16,1.07%,Official population clock
19,Turkey,"78,741,053",31-Dec-15,1.06%,Annual official estimate
20,Thailand,"68,145,000",1-Jul-16,0.91%,United Nations Department of Economic
21,France,"66,790,000",1-Sep-16,0.90%,Monthly official estimate
22,United Kingdom,"65,112,000",1-Jul-15,0.87%,Annual official estimate
23,Italy,"60,665,551",1-Jan-16,0.81%,Official estimate
24,South Africa,"55,654,000",1-Jul-16,0.75%,Annual official estimate
25,Tanzania,"55,155,000",1-Jul-16,0.74%,UN projection
26,Myanmar,"54,363,426",1-Jul-16,0.73%,UN projection
27,South Korea,"50,501,405",1-Jul-16,0.68%,Annual official estimate
28,Colombia,"48,879,700",14-Oct-16,0.66%,Official population clock
29,Kenya,"47,251,000",1-Jul-16,0.63%,UN projection
30,Spain,"46,812,000",1-Jul-16,0.63%,Official estimate
31,Argentina,"43,850,000",1-Jul-16,0.59%,Official annual projection
32,Ukraine,"42,650,186",1-Aug-16,0.57%,Monthly official estimate
33,Sudan,"41,176,000",1-Jul-16,0.55%,Official annual projection
34,Algeria,"40,400,000",1-Jul-16,0.54%,Official annual projection
35,Uganda,"39,121,000",1-Jul-16,0.52%,Official annual projection
36,Poland,"38,672,000",1-Sep-16,0.52%,Official estimate
37,Iraq,"36,787,000",1-Jul-16,0.49%,Official annual projection
38,Canada,"36,331,500",14-Oct-16,0.49%,Official estimate
39,Morocco,"34,110,200",14-Oct-16,0.46%,Official annual projection
40,Saudi Arabia,"32,248,000",1-Jul-16,0.43%,Official estimate
41,Malaysia,"31,794,500",14-Oct-16,0.43%,Official population clock
42,Uzbekistan,"31,575,300",1-Jan-16,0.42%,Official estimate
43,Peru,"31,488,700",1-Jul-16,0.42%,Official annual projection
44,Venezuela,"31,028,700",1-Jul-16,0.42%,Official annual projection
45,Nepal,"30,986,975",1-Jul-16,0.38%,Official annual projection
46,Ghana,"27,670,174",1-Jul-15,0.37%,Official annual projection
47,Afghanistan,"27,657,145",1-Jul-16,0.37%,Annual official estimate
48,Yemen,"27,478,000",1-Jul-16,0.37%,UN projection
49,Mozambique,"26,423,700",1-Jul-16,0.35%,Annual official projection
50,Angola,"25,789,024",16-May-14,0.35%,Final 2014 census result
51,Australia,"24,242,600",14-Oct-16,0.33%,Official population clock
52,North Korea,"24,213,510",1-Oct-14,0.32%,Preliminary 2014 census result
53,Taiwan,"23,514,750",31-Jul-16,0.32%,Monthly official estimate
54,Cameroon,"22,709,892",1-Jul-16,0.30%,Annual official projection
55,Ivory Coast,"22,671,331",15-May-14,0.30%,Preliminary 2014 census result
